DATE,TX_DESCR_FR,CASES_PER_10K,CASES_PER_10K_MA
2020-03-01,Anderlecht,0.0,0.13
2020-03-01,Auderghem,0.0,0.13
2020-03-01,Berchem-Sainte-Agathe,0.0,0.13
2020-03-01,Bruxelles,0.10707555250985096,0.13
2020-03-01,Etterbeek,0.0,0.13
2020-03-01,Evere,0.0,0.13
2020-03-01,Forest (Bruxelles-Capitale),0.0,0.13
2020-03-01,Ganshoren,0.0,0.13
2020-03-01,Ixelles,0.22852702903435904,0.13
2020-03-01,Jette,0.0,0.13
2020-03-01,Koekelberg,0.0,0.13
2020-03-01,Molenbeek-Saint-Jean,0.0,0.13
2020-03-01,Saint-Gilles,0.0,0.13
2020-03-01,Saint-Josse-ten-Noode,0.7393715341959335,0.13
2020-03-01,Schaerbeek,0.0,0.13
2020-03-01,Uccle,0.0,0.13
2020-03-01,Watermael-Boitsfort,0.0,0.13
2020-03-01,Woluwe-Saint-Lambert,0.0,0.13
2020-03-01,Woluwe-Saint-Pierre,0.0,0.13
2020-03-02,Anderlecht,0.0,0.13
2020-03-02,Auderghem,0.0,0.13
2020-03-02,Berchem-Sainte-Agathe,0.8294281093186248,0.13
2020-03-02,Bruxelles,0.0,0.13
2020-03-02,Etterbeek,0.0,0.13
2020-03-02,Evere,0.0,0.13
2020-03-02,Forest (Bruxelles-Capitale),0.0,0.13
2020-03-02,Ganshoren,0.0,0.13
2020-03-02,Ixelles,0.0,0.13
2020-03-02,Jette,0.0,0.13
2020-03-02,Koekelberg,0.0,0.13
2020-03-02,Molenbeek-Saint-Jean,0.0,0.13
2020-03-02,Saint-Gilles,0.0,0.13
2020-03-02,Saint-Josse-ten-Noode,0.0,0.13
2020-03-02,Schaerbeek,0.0,0.13
2020-03-02,Uccle,0.23756354824915665,0.13
2020-03-02,Watermael-Boitsfort,0.0,0.13
2020-03-02,Woluwe-Saint-Lambert,0.34458993797381116,0.13
2020-03-02,Woluwe-Saint-Pierre,0.4757600266425615,0.13
2020-03-03,Anderlecht,0.16430748502748044,0.13
2020-03-03,Auderghem,0.0,0.13
2020-03-03,Berchem-Sainte-Agathe,0.0,0.13
2020-03-03,Bruxelles,0.0,0.13
2020-03-03,Etterbeek,0.0,0.13
2020-03-03,Evere,0.0,0.13
2020-03-03,Forest (Bruxelles-Capitale),0.0,0.13
2020-03-03,Ganshoren,0.0,0.13
2020-03-03,Ixelles,0.0,0.13
2020-03-03,Jette,0.0,0.13
2020-03-03,Koekelberg,0.0,0.13
2020-03-03,Molenbeek-Saint-Jean,0.0,0.13
2020-03-03,Saint-Gilles,0.0,0.13
2020-03-03,Saint-Josse-ten-Noode,0.0,0.13
2020-03-03,Schaerbeek,0.0,0.13
2020-03-03,Uccle,0.0,0.13
2020-03-03,Watermael-Boitsfort,0.793587810491231,0.13
2020-03-03,Woluwe-Saint-Lambert,0.0,0.13
2020-03-03,Woluwe-Saint-Pierre,0.0,0.13
2020-03-04,Anderlecht,0.0,0.13
2020-03-04,Auderghem,0.0,0.13
2020-03-04,Berchem-Sainte-Agathe,0.0,0.13
2020-03-04,Bruxelles,0.0,0.13
2020-03-04,Etterbeek,0.0,0.13
2020-03-04,Evere,0.0,0.13
2020-03-04,Forest (Bruxelles-Capitale),0.0,0.13
2020-03-04,Ganshoren,0.0,0.13
2020-03-04,Ixelles,0.0,0.13
2020-03-04,Jette,0.0,0.13
2020-03-04,Koekelberg,0.0,0.13
2020-03-04,Molenbeek-Saint-Jean,0.0,0.13
2020-03-04,Saint-Gilles,0.0,0.13
2020-03-04,Saint-Josse-ten-Noode,0.0,0.13
2020-03-04,Schaerbeek,0.0,0.13
2020-03-04,Uccle,0.0,0.13
2020-03-04,Watermael-Boitsfort,0.0,0.13
2020-03-04,Woluwe-Saint-Lambert,0.34458993797381116,0.13
2020-03-04,Woluwe-Saint-Pierre,0.0,0.13
2020-03-05,Anderlecht,0.0,0.13
2020-03-05,Auderghem,0.0,0.13
2020-03-05,Berchem-Sainte-Agathe,0.0,0.13
2020-03-05,Bruxelles,0.0,0.13
2020-03-05,Etterbeek,0.0,0.13
2020-03-05,Evere,0.0,0.13
2020-03-05,Forest (Bruxelles-Capitale),0.0,0.13
2020-03-05,Ganshoren,0.0,0.13
2020-03-05,Ixelles,0.0,0.13
2020-03-05,Jette,0.0,0.13
2020-03-05,Koekelberg,0.0,0.13
2020-03-05,Molenbeek-Saint-Jean,0.0,0.13
2020-03-05,Saint-Gilles,0.0,0.13
2020-03-05,Saint-Josse-ten-Noode,0.0,0.13
2020-03-05,Schaerbeek,0.0,0.13
2020-03-05,Uccle,0.23756354824915665,0.13
2020-03-05,Watermael-Boitsfort,0.0,0.13
2020-03-05,Woluwe-Saint-Lambert,0.34458993797381116,0.13
2020-03-05,Woluwe-Saint-Pierre,0.0,0.13
2020-03-06,Anderlecht,0.0,0.13
2020-03-06,Auderghem,0.0,0.13
